Candidat_ID,Sexe,Age,Annees_Experience,Mention_Bac,Mention_Licence,Specialite_Licence,Diplome_Superieur,Langues_Parlees,Connaissance_Softwares,experience_management,Stage_Effectue,Recrute
1,F,33,8,Passable,Passable,Gestion,Licence,4,4,2,0,0
2,F,38,0,Bien,Assez Bien,Informatique,Doctorat,1,5,0,0,1
3,H,39,15,Très Bien,Très Bien,Informatique,Bac,2,3,12,0,0
4,H,20,11,Passable,Bien,Droit,Master,2,5,2,0,0
5,H,29,9,Passable,Assez Bien,Sciences,Licence,4,4,2,1,0
6,F,35,2,Passable,Passable,Marketing,Bac,3,2,1,1,0
7,H,33,5,Passable,Assez Bien,Informatique,Doctorat,1,5,5,0,1
8,H,32,4,Passable,Passable,Sciences,Bac,3,1,0,1,0
9,H,34,15,Assez Bien,Bien,Sciences,Licence,3,1,5,0,0
10,F,30,11,Bien,Bien,Droit,Doctorat,3,5,3,1,1
11,F,27,12,Passable,Bien,Informatique,Doctorat,4,3,5,0,1
12,H,33,13,Bien,Très Bien,Marketing,Licence,1,4,10,0,1
13,H,28,6,Très Bien,Très Bien,Marketing,Doctorat,3,5,5,0,0
14,F,27,8,Bien,Passable,Droit,Bac,2,3,7,1,0
15,H,23,3,Passable,Passable,Sciences,Bac,4,5,1,1,1
16,F,25,0,Très Bien,Bien,Sciences,Master,4,4,0,1,0
17,F,35,14,Très Bien,Passable,Droit,Licence,3,4,1,1,0
18,F,25,12,Bien,Assez Bien,Marketing,Bac,2,4,7,1,0
19,F,24,10,Très Bien,Bien,Gestion,Bac,2,1,10,0,1
20,F,20,5,Passable,Passable,Marketing,Licence,2,4,5,1,0
21,F,22,4,Bien,Passable,Gestion,Licence,2,4,3,1,0
22,H,29,1,Très Bien,Très Bien,Droit,Doctorat,2,5,0,1,1
23,H,28,15,Bien,Assez Bien,Informatique,Bac,4,4,14,1,0
24,F,33,5,Assez Bien,Assez Bien,Sciences,Bac,2,5,4,1,1
25,H,22,7,Assez Bien,Passable,Informatique,Licence,4,2,0,0,1
26,F,37,8,Bien,Passable,Droit,Licence,3,5,3,1,0
27,F,30,11,Très Bien,Bien,Droit,Doctorat,1,5,11,1,1
28,F,28,15,Bien,Assez Bien,Informatique,Bac,4,4,2,1,0
